Date,Activity,Group,Duration,Distance,Steps,Calories
9/22/14,walking,walking,6605,4.076,8734,0
9/22/14,transport,transport,3069,9.084,0,0
9/23/14,walking,walking,6282,3.912,7920,0
9/23/14,transport,transport,2672,10.870,0,0
9/24/14,walking,walking,4464,2.674,5873,0
9/24/14,transport,transport,4388,14.194,0,0
9/25/14,walking,walking,5876,3.664,7119,0
9/25/14,transport,transport,835,4.297,0,0
9/26/14,walking,walking,8782,5.630,12009,0
9/26/14,transport,transport,4164,11.930,0,0
9/27/14,walking,walking,166,0.073,235,0
9/27/14,transport,transport,1680,8.077,0,0
9/28/14,walking,walking,809,0.388,1066,0
9/28/14,transport,transport,1283,6.370,0,0
